shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1402-12),71.0,60.52304590043449,10.208000696972505,110.06182781163997,تندرستی و ورزش
(1403-01),62.0,53.61932010452704,7.639437819170938,100.14850439177664,تندرستی و ورزش
(1403-02),63.0,62.2677676904643,10.851746160220838,114.33087586978365,تندرستی و ورزش
(1403-03),66.0,62.740481760937016,12.594637320732161,113.14933371104057,تندرستی و ورزش
(1403-04),69.0,54.931636985986586,4.98812237941837,104.7056715914186,تندرستی و ورزش
(1403-05),84.0,71.92684298217887,16.156743152505847,127.61922696659364,تندرستی و ورزش
(1403-06),46.0,53.09426079417444,9.10368009324185,97.48069639245888,تندرستی و ورزش
(1403-07),72.0,67.69726934030592,21.770160208468425,113.93669839314224,تندرستی و ورزش
(1403-08),80.0,64.57357492760742,18.903929308068566,111.21830056014481,تندرستی و ورزش
(1403-09),62.0,61.76177612354389,19.282399639254493,104.6372383195481,تندرستی و ورزش
(1403-10),42.0,53.934958693736746,5.787653445320849,101.94891455723288,تندرستی و ورزش
(1403-11),57.0,54.64627273184422,8.518956946281122,100.55775688337533,تندرستی و ورزش
(1403-12),26.0,32.67065508754012,4.7049974058648285,60.53799654890516,تندرستی و ورزش
(1404-01),37.0,36.653090298583,4.927611349861417,67.64919638463994,تندرستی و ورزش
(1404-02),37.0,39.97662404397049,4.574408459468346,75.40626152398389,تندرستی و ورزش
(1404-03),31.0,40.1059602461826,7.213955125206039,73.01927960287371,تندرستی و ورزش
(1404-04),18.0,27.96198901301942,0.12319516942464603,55.10731557769605,تندرستی و ورزش
(1404-05),22.0,34.554120087657225,6.7127197677136206,62.37975759940336,تندرستی و ورزش
(1404-06),26.0,44.58403170476826,5.613293420035339,83.51632767278645,تندرستی و ورزش
(1404-07),18.0,76.67238724350469,21.949028545081507,132.0175436435193,تندرستی و ورزش
(1404-08),34.0,73.25097674667047,19.06291523332368,129.29547585661277,تندرستی و ورزش
